外發廠,序號,訂單號,款號,款號名稱,顏色,訂單數量,下單日期,客戶交期,變更交期,物料齊套日期,標準日產能,生產數量,計畫開始日期,計畫結束日期
海陽,宇-001,VS2511039,CIS022C01Z05,Z05/紅色+淡橙色,"SAM'S 26""大購物袋 2026 H1",17640,2025-11-26 23:00,2026-02-08 23:00,,,,0,,
海陽,宇-002,VS2511039,CIS022C01Z03,Z03/墨綠+粉紅,"SAM'S 26""大購物袋 2026 H1",17640,2025-11-26 23:00,2026-02-08 23:00,,,,0,,
海陽,宇-003,VS2511039,CIS022C01Z09,Z09/米白+藍色,"SAM'S 26""大購物袋 2026 H1",17640,2025-11-26 23:00,2026-02-08 23:00,,,,0,,
海陽,宇-004,VS2511039,CIS022C02Z01,Z01/米白+紅白間色肩帶,"SAM'S 26""大購物袋 2026 H1",17640,2025-11-26 23:00,2026-02-08 23:00,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
海陽,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,
